Ordem;Data;Material;Quantidade;Operador;Status;Tempo_Processo
8000101;01/10/2025;Eixo de Aço 10mm;500;Carlos Silva;Concluído;120
8000102;01/10/2025;Rolamento Esférico;200;Mariana Souza;Concluído;45
8000103;01/10/2025;Engrenagem Cônica;150;João Pedro;Em Processo;0
8000104;02/10/2025;Placa de Base;50;Carlos Silva;Concluído;180
8000105;02/10/2025;Parafuso Especial M12;1000;Ana Paula;Parado;30
8000106;02/10/2025;Eixo de Aço 10mm;500;Mariana Souza;Concluído;115
8000107;03/10/2025;Bucha de Bronze;300;Roberto Lima;Concluído;90
8000108;03/10/2025;Rolamento Esférico;200;João Pedro;Erro;15
8000109;03/10/2025;Carcaça de Alumínio;80;Carlos Silva;Concluído;240
8000110;04/10/2025;Eixo de Aço 10mm;500;Ana Paula;Concluído;125
8000111;04/10/2025;Pino Guia;600;Roberto Lima;Em Processo;0
8000112;05/10/2025;Engrenagem Cônica;150;Mariana Souza;Concluído;160
8000113;05/10/2025;Placa de Base;50;João Pedro;Concluído;175
8000114;05/10/2025;Mola de Compressão;2000;Carlos Silva;Planejado;0
8000115;06/10/2025;Eixo de Aço 10mm;500;Ana Paula;Concluído;118
8000116;06/10/2025;Parafuso Especial M12;1000;Roberto Lima;Concluído;210
8000117;06/10/2025;Bucha de Bronze;300;Mariana Souza;Concluído;88
8000118;07/10/2025;Carcaça de Alumínio;80;João Pedro;Parado;60
8000119;07/10/2025;Eixo de Aço 10mm;500;Carlos Silva;Concluído;122
8000120;07/10/2025;Rolamento Esférico;200;Ana Paula;Concluído;42
8000121;08/10/2025;Pino Guia;600;Roberto Lima;Concluído;150
8000122;08/10/2025;Engrenagem Cônica;150;Mariana Souza;Concluído;155
8000123;08/10/2025;Placa de Base;50;João Pedro;Erro;20
8000124;09/10/2025;Mola de Compressão;2000;Carlos Silva;Concluído;300
8000125;09/10/2025;Eixo de Aço 10mm;500;Ana Paula;Concluído;120
8000126;09/10/2025;Bucha de Bronze;300;Roberto Lima;Em Processo;0
8000127;10/10/2025;Rolamento Esférico;200;Mariana Souza;Concluído;44
8000128;10/10/2025;Carcaça de Alumínio;80;João Pedro;Concluído;235
8000129;10/10/2025;Parafuso Especial M12;1000;Carlos Silva;Concluído;215
8000130;11/10/2025;Eixo de Aço 10mm;500;Ana Paula;Planejado;0
8000131;11/10/2025;Pino Guia;600;Roberto Lima;Concluído;148
8000132;11/10/2025;Engrenagem Cônica;150;Mariana Souza;Concluído;162
8000133;12/10/2025;Placa de Base;50;João Pedro;Concluído;180
8000134;12/10/2025;Mola de Compressão;2000;Carlos Silva;Concluído;290
